question,answer
When can I apply for graduation at Douglas College?,"Students can apply for Winter (February) graduation from July 15th to November 30th, and for Summer (June) graduation from January 15th to March 31st. You can apply when you have registered in your final program requirements."
How do I apply to graduate from Douglas College?,Apply for graduation through myAccount under Student Records. It is recommended that you meet with your Student Success Advisor to ensure you are on track before applying.
How do I update my mailing address for graduation?,"You can update your mailing address and phone number in myAccount under Personal Information. If you would like to update your name, complete a Name Change Request and submit it to Enrolment Services."
When will I receive my graduation completion letter?,Graduation/Completion letters are automatically issued to all graduating students within 4 weeks after the exam period ends. Graduation letters cannot be issued early.
What is a course substitution in graduation requirements?,A course substitution is a course used to replace another mandatory course in your program. All substitutions must be approved by your Program Chair or Coordinator prior to taking them.
What happens if I miss the graduation application deadline?,Students are required to submit an application to graduate in order to receive a Program Completion Letter. International students who miss the graduation application deadline must contact the Douglas College International Office immediately.
How long does it take to process a duplicate credential request?,The processing time for Duplicate Credential Requests is 4 weeks. Douglas College is not responsible for lost mail or delays in shipping.
Can I receive my credential before the graduation ceremony?,"Students are not able to receive credentials prior to their conferral date. You will receive your credential at your respective graduation ceremony, or after if you do not attend."
What if I cannot attend the graduation ceremony?,"If you are unable to attend the ceremony, you can pick up your credentials at Enrolment Services, New Westminster Campus, a week after the ceremonies conclude. Unclaimed credentials will be mailed to the address on file."
How do I confirm my graduation requirements are complete?,"Ensure you are in the correct program and that all specializations, minors, and co-ops are declared. Meet with your Student Success Advisor to confirm you meet all requirements before applying to graduate."
What is needed for program specializations and minors at graduation?,"Ensure all specializations, minors, and co-ops are declared in your myAccount before applying to graduate, and confirm with your Student Success Advisor that all requirements have been fulfilled."
